first_name,last_name,gender,birth_date,customer_num,phone_num
Todd,Durham,FEMALE,1972-01-28,CUST-78966,947-828-1149x2785
Victoria,Kemp,MALE,1952-05-23,CUST-63340,+1-893-320-1575
Deborah,Obrien,FEMALE,1993-09-26,CUST-72616,001-586-100-9722x112
Michelle,Hunter,FEMALE,2005-06-12,CUST-63888,036.344.0491x206
Christopher,Phillips,FEMALE,1939-07-08,CUST-84769,+1-005-686-1672
Linda,Levy,FEMALE,1975-01-22,CUST-74578,7291065247
David,Bowers,MALE,1959-08-05,CUST-43846,737.101.5497x5268
Susan,Howell,MALE,1960-04-14,CUST-55613,310-352-8827x970
Christopher,Vasquez,MALE,1933-08-09,CUST-90511,(943)443-8622
James,Burton,MALE,1990-05-06,CUST-75250,379-676-3708x9510
Laurie,Sosa,MALE,1979-08-19,CUST-46262,(973)560-2492x96555
Matthew,Mccoy,MALE,1971-01-15,CUST-36063,031-802-0160
Anthony,Morgan,FEMALE,1964-09-22,CUST-79741,+1-976-084-2830
Jason,Castro,FEMALE,1956-05-14,CUST-97948,(786)441-0831x99373
Nicholas,Wallace,MALE,1944-11-09,CUST-52775,427.049.9774
Aaron,Morris,FEMALE,1992-01-17,CUST-20075,(378)117-2439x5084
Richard,Roberts,MALE,1943-08-16,CUST-71841,(764)713-4983x68322
Lisa,Peterson,MALE,1991-01-11,CUST-51788,155.451.2797
Ann,Bell,MALE,1939-03-22,CUST-51618,001-240-360-9676
Debbie,Morris,FEMALE,1967-05-12,CUST-61273,(077)401-8486
Rebecca,Campbell,MALE,1972-04-19,CUST-14024,(781)171-3764x21553
Ryan,Davis,FEMALE,2001-10-26,CUST-91441,807-256-2901
Lisa,Brown,FEMALE,1933-10-08,CUST-85808,808-549-8708
Kristin,Alexander,MALE,1998-03-08,CUST-85155,616-268-1217
Laura,Sullivan,MALE,1949-04-18,CUST-64514,(320)300-4667x175
Jessica,Henson,MALE,1938-04-21,CUST-99964,001-043-250-3482x1846
Beth,Garcia,FEMALE,2000-03-11,CUST-92881,(763)339-3690x3276
James,Hughes,MALE,1983-01-07,CUST-52148,001-074-382-1526x1251
Donald,Chavez,MALE,1990-08-10,CUST-94940,640-940-7614
Heather,Simon,FEMALE,1975-10-02,CUST-88330,912-744-4840x1851
Patrick,Miller,FEMALE,1957-05-31,CUST-19545,001-317-759-9196x222
Jeffrey,Mendez,MALE,1957-06-02,CUST-50452,(197)170-1884x087
Donald,Andrews,FEMALE,1980-02-03,CUST-52070,(006)431-4527
Robert,Thomas,MALE,1972-05-30,CUST-81553,298.656.8334
Amber,Cross,MALE,1997-12-17,CUST-01398,206-996-8107x03332
Maria,Collins,MALE,1989-10-10,CUST-70904,735.195.2766
Ruben,Ford,MALE,1975-03-03,CUST-44736,167-073-2918
Connor,Arroyo,MALE,1983-01-06,CUST-65283,+1-646-260-8798
Bradley,Harris,FEMALE,1944-06-13,CUST-11845,521.573.7840x3075
Isaac,Jennings,FEMALE,1974-10-18,CUST-05752,001-984-841-1800x7075
Deborah,Garcia,FEMALE,1973-06-08,CUST-17440,001-946-448-1186x1047
Matthew,Jones,MALE,1966-11-15,CUST-42110,(324)365-7715x0385
Sherry,Gutierrez,FEMALE,1995-03-21,CUST-13704,(262)661-5653x4039
Zachary,Downs,MALE,1966-07-01,CUST-54036,190-089-2918x76624
Kathryn,Gardner,FEMALE,2003-11-14,CUST-42043,917-788-7711
Christian,Molina,MALE,1957-06-27,CUST-85618,(340)005-8385x41513
Leslie,Black,MALE,1981-02-20,CUST-51454,073.156.1202
Kevin,Scott,MALE,1955-05-27,CUST-68244,(058)846-1765x78387
Lawrence,Snyder,FEMALE,1983-03-05,CUST-21124,001-507-595-5026x05126
Charles,Johnson,FEMALE,1951-05-18,CUST-38540,001-094-836-8849x68909
Lauren,Cantrell,FEMALE,1935-12-24,CUST-77271,+1-129-280-6354x9182
Brandy,Phillips,MALE,1983-09-20,CUST-82460,+1-654-442-8937x20865
Debra,Walsh,MALE,1976-09-28,CUST-53350,306.159.8888x44539
Whitney,Banks,FEMALE,1947-05-18,CUST-62374,+1-268-762-1434x191
Lauren,Mullins,FEMALE,1954-08-08,CUST-61391,001-111-800-7844
Todd,Johnson,FEMALE,1953-07-18,CUST-32879,(856)371-8304
Andrew,Jackson,FEMALE,1942-09-23,CUST-85173,(258)585-6275x096
Jody,Burton,FEMALE,1983-05-23,CUST-90870,+1-202-906-2821x703
Robert,Hernandez,FEMALE,1985-05-11,CUST-64742,001-761-735-2803x23478
Stephen,Goodman,FEMALE,1937-09-30,CUST-40481,(504)689-2153
John,Dorsey,MALE,1998-07-01,CUST-70957,+1-791-501-8534
Dale,Green,FEMALE,1966-06-07,CUST-98816,(945)500-3684x12174
Brenda,Anthony,FEMALE,2005-09-19,CUST-90528,790-262-5531x68906
Jeremy,Page,FEMALE,1976-05-17,CUST-77154,001-320-768-1829x29612
James,Miller,FEMALE,1961-06-10,CUST-99989,(621)263-2769x559
Aimee,Moses,FEMALE,1991-04-11,CUST-60092,952-946-9497x55655
Rhonda,Baker,FEMALE,1992-04-27,CUST-40157,9927316202
